id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2023-03-04T03:48:51;71697;45464
2;Carey;O'Conner;Johnathon.Hammes@gmail.com;withdrawal;2023-03-04T07:45:43;75289;21024
3;Wilfrid;Spencer;Adan.Goodwin@gmail.com;Sleek;2023-03-03T16:49:07;71090;65309
4;Laurence;Gaylord;Alessia.Heathcote@hotmail.com;reinvent orchestrate;2023-03-03T12:18:44;52820;82484
5;Karson;Hammes;Eriberto14@hotmail.com;mobile Granite;2023-03-04T06:56:38;13439;33970
6;Aisha;Carroll;Fern.Ortiz73@gmail.com;Jersey time-frame;2023-03-03T15:42:50;64329;13556
7;Dedrick;Cremin;Karli72@yahoo.com;Devolved rich;2023-03-03T18:12:58;54588;45928
8;Clare;Willms;Bradley8@yahoo.com;payment Illinois;2023-03-04T08:16:22;3244;21747
9;Mariela;Spinka;Hope_Cruickshank98@hotmail.com;white;2023-03-03T23:37:01;90189;81327
10;Ada;Robel;Brent79@gmail.com;Table Alaska Checking;2023-03-03T12:17:11;32637;8639
